"","X","stop_id","stop_name","stop_lat","stop_lon","zone_id","stop_timezone","census_tract_id","zip"
"4169",4169,59730,"SE Royal Hills Dr & Lake Youngs Way SE",47.468685,-122.18335,24,"America/Los_Angeles",257.01,98058
"4170",4170,59740,"SE Royal Hills Dr & Gem Dr SE",47.468136,-122.177116,24,"America/Los_Angeles",257.01,98058
"4171",4171,59750,"SE Royal Hills Dr & Harader Dr SE",47.469257,-122.179825,24,"America/Los_Angeles",257.01,98058
"4172",4172,59760,"Royal Hills Dr SE & Lake Youngs Way SE",47.468586,-122.183884,24,"America/Los_Angeles",257.01,98055
"4173",4173,59772,"Puget Dr SE & SE 16th Pl",47.465073,-122.189919,24,"America/Los_Angeles",257.01,98055
"4174",4174,59773,"W James St & Lincoln Ave N",47.386772,-122.242508,24,"America/Los_Angeles",292.03,NA
"4175",4175,59785,"S Puget Dr & Rolling Hills Ave SE",47.461475,-122.196724,24,"America/Los_Angeles",257.01,98055
"4176",4176,5980,"Phinney Ave N & N 46th St",47.661869,-122.354088,1,"America/Los_Angeles",49,98103
"4177",4177,59800,"S Puget Dr & Grant Ave S",47.461777,-122.199677,24,"America/Los_Angeles",257.01,98055
"4178",4178,59810,"S Puget Dr & Benson Rd S",47.462681,-122.204742,24,"America/Los_Angeles",258.06,98055
"4179",4179,59828,"S 21st St & Smithers Ave S",47.460953,-122.209389,24,"America/Los_Angeles",258.06,98055
"4180",4180,59830,"Talbot Rd S & S Renton Village Pl",47.468773,-122.207855,24,"America/Los_Angeles",258.06,98055
"4181",4181,59831,"Strander Blvd & Andover Park W",47.455769,-122.253685,24,"America/Los_Angeles",262,98188
"4182",4182,59833,"Strander Blvd & Andover Park E",47.455727,-122.249313,24,"America/Los_Angeles",262,98188
"4183",4183,59841,"Sr 515 & South Grady Way",47.47271,-122.209496,24,"America/Los_Angeles",253.02,98057
"4184",4184,59842,"South Renton P&R - Bay 1",47.47258,-122.213837,24,"America/Los_Angeles",253.02,98057
"4185",4185,59860,"Rainier Ave S & S 7th St",47.474415,-122.21508,24,"America/Los_Angeles",253.02,98057
"4186",4186,59868,"SW 16th St & Lind Ave SW",47.465992,-122.225029,24,"America/Los_Angeles",262,98057
"4187",4187,59870,"Rainier Ave S & S 4th Pl",47.477276,-122.215515,24,"America/Los_Angeles",253.02,98057
"4188",4188,59872,"Oakesdale Ave SW & Boeing Cag",47.462151,-122.232796,24,"America/Los_Angeles",262,98057
"4189",4189,59873,"Oakesdale Ave SW & Boeing Cag",47.461117,-122.233055,24,"America/Los_Angeles",262,98057
"4190",4190,59881,"Tukwila Station Acs & S Longacres Way - Bay 1",47.460941,-122.240692,24,"America/Los_Angeles",262,98057
"4191",4191,59882,"Tukwila Station Acs & S Longacres Way - Bay 2",47.460674,-122.240967,24,"America/Los_Angeles",262,98057
"4192",4192,59891,"Rainier Ave S & S 3rd Pl",47.477798,-122.216187,24,"America/Los_Angeles",253.02,98057
"4193",4193,5990,"Phinney Ave N & N 44th St",47.659996,-122.354485,1,"America/Los_Angeles",49,98103
"4194",4194,59902,"S 7th St & Rainier Ave S",47.473717,-122.21492,24,"America/Los_Angeles",253.02,98057
"4195",4195,59904,"South Renton P&R - Bay 3",47.472179,-122.212746,24,"America/Los_Angeles",253.02,98057
"4196",4196,59934,"Sr 515 & S 15th St",47.46629,-122.207909,24,"America/Los_Angeles",258.06,98055
"4197",4197,59936,"S 21st St & Smithers Ave S",47.461086,-122.209587,24,"America/Los_Angeles",258.06,98055
"4198",4198,59938,"Talbot Rd S & S Renton Village Pl",47.470768,-122.207977,24,"America/Los_Angeles",253.02,98057
"4199",4199,59944,"Talbot Rd S & S 23rd St",47.459068,-122.212296,24,"America/Los_Angeles",258.06,98055
"4200",4200,59945,"Talbot Rd S & S 26th St",47.456677,-122.212921,24,"America/Los_Angeles",258.06,98055
"4201",4201,59946,"Talbot Rd S & S 27th Pl",47.455208,-122.21273,24,"America/Los_Angeles",258.06,98055
"4202",4202,59947,"Talbot Rd S & S 36th St",47.446781,-122.211105,24,"America/Los_Angeles",258.06,98055
"4203",4203,59948,"Talbot Rd S & S 177th St",47.443855,-122.211639,24,"America/Los_Angeles",258.06,98055
"4204",4204,59949,"Talbot Rd S & S Carr Rd",47.442196,-122.212471,24,"America/Los_Angeles",258.06,98055
"4205",4205,59950,"S Puget Dr & Talbot Rd S",47.466419,-122.207268,24,"America/Los_Angeles",258.06,98055
"4206",4206,59951,"Talbot Rd S & S 32nd St",47.452824,-122.212471,24,"America/Los_Angeles",258.06,98055
"4207",4207,59960,"S Puget Dr & Benson Rd S",47.461822,-122.203949,24,"America/Los_Angeles",258.06,98055
"4208",4208,59971,"S Puget Dr & Grant Ave S",47.461327,-122.198059,24,"America/Los_Angeles",258.05,98055
"4209",4209,59974,"Puget Dr SE & Jones Pl SE",47.461357,-122.195969,24,"America/Los_Angeles",258.05,98055
"4210",4210,59976,"Puget Dr SE & SE 19th St",47.464374,-122.190491,24,"America/Los_Angeles",258.05,98055
"4211",4211,60,"1st Ave & Union St",47.60733,-122.33876,21,"America/Los_Angeles",81,98101
"4212",4212,600,"3rd Ave & Virginia St",47.612808,-122.341438,21,"America/Los_Angeles",72,98121
"4213",4213,6000,"N 43rd St & Phinney Ave N",47.658894,-122.353943,1,"America/Los_Angeles",49,98103
"4214",4214,60001,"Royal Hills Dr SE & Edmonds Ave SE",47.466488,-122.185753,24,"America/Los_Angeles",257.02,98058
"4215",4215,60002,"Lake Youngs Way SE & Royal Hills Dr SE",47.468403,-122.183571,24,"America/Los_Angeles",257.02,98058
