,ozip,dzip,dzip.1,olat,olon,dlat,dlon
99,98109.0,98119.0,110,47.629,-122.343,47.639,-122.366
100,98109.0,98121.0,84,47.629,-122.343,47.613,-122.344
101,98109.0,98101.0,82,47.629,-122.343,47.611,-122.333
102,98109.0,98102.0,56,47.629,-122.343,47.633,-122.322
103,98109.0,98122.0,47,47.629,-122.343,47.608,-122.302
104,98109.0,98103.0,46,47.629,-122.343,47.671,-122.34
105,98109.0,98107.0,45,47.629,-122.343,47.67,-122.383
106,98109.0,98104.0,28,47.629,-122.343,47.605,-122.326
107,98109.0,98112.0,24,47.629,-122.343,47.634,-122.293
108,98109.0,98125.0,24,47.629,-122.343,47.718,-122.302
109,98109.0,98117.0,18,47.629,-122.343,47.686,-122.38
110,98109.0,98115.0,17,47.629,-122.343,47.683,-122.292
111,98109.0,98133.0,17,47.629,-122.343,47.742,-122.344
112,98109.0,98105.0,16,47.629,-122.343,47.661,-122.293
113,98109.0,98144.0,12,47.629,-122.343,47.587,-122.298
114,98109.0,98126.0,11,47.629,-122.343,47.549,-122.376
115,98112.0,98112.0,222,47.634,-122.293,47.634,-122.293
116,98112.0,98122.0,144,47.634,-122.293,47.608,-122.302
117,98112.0,98102.0,51,47.634,-122.293,47.633,-122.322
118,98112.0,98109.0,25,47.634,-122.293,47.629,-122.343
119,98112.0,98101.0,21,47.634,-122.293,47.611,-122.333
120,98112.0,98105.0,20,47.634,-122.293,47.661,-122.293
121,98112.0,98103.0,18,47.634,-122.293,47.671,-122.34
122,98112.0,98104.0,17,47.634,-122.293,47.605,-122.326
123,98112.0,98115.0,13,47.634,-122.293,47.683,-122.292
124,98112.0,98144.0,11,47.634,-122.293,47.587,-122.298
125,98115.0,98115.0,478,47.683,-122.292,47.683,-122.292
126,98115.0,98105.0,144,47.683,-122.292,47.661,-122.293
127,98115.0,98103.0,112,47.683,-122.292,47.671,-122.34
128,98115.0,98125.0,103,47.683,-122.292,47.718,-122.302
129,98115.0,98195.0,43,47.683,-122.292,47.65,-122.31
130,98115.0,98133.0,23,47.683,-122.292,47.742,-122.344
131,98115.0,98101.0,20,47.683,-122.292,47.611,-122.333
132,98115.0,98117.0,19,47.683,-122.292,47.686,-122.38
133,98115.0,98122.0,19,47.683,-122.292,47.608,-122.302
134,98115.0,98104.0,17,47.683,-122.292,47.605,-122.326
135,98115.0,98109.0,16,47.683,-122.292,47.629,-122.343
136,98115.0,98107.0,15,47.683,-122.292,47.67,-122.383
137,98115.0,98102.0,12,47.683,-122.292,47.633,-122.322
138,98116.0,98116.0,163,47.575,-122.396,47.575,-122.396
139,98116.0,98126.0,47,47.575,-122.396,47.549,-122.376
140,98116.0,98136.0,35,47.575,-122.396,47.535,-122.387
141,98116.0,98101.0,13,47.575,-122.396,47.611,-122.333
142,98116.0,98104.0,12,47.575,-122.396,47.605,-122.326
143,98117.0,98117.0,209,47.686,-122.38,47.686,-122.38
144,98117.0,98107.0,94,47.686,-122.38,47.67,-122.383
145,98117.0,98103.0,81,47.686,-122.38,47.671,-122.34
146,98117.0,98109.0,21,47.686,-122.38,47.629,-122.343
147,98117.0,98133.0,21,47.686,-122.38,47.742,-122.344
148,98117.0,98115.0,19,47.686,-122.38,47.683,-122.292
149,98117.0,98105.0,16,47.686,-122.38,47.661,-122.293
150,98117.0,98101.0,14,47.686,-122.38,47.611,-122.333
151,98118.0,98118.0,166,47.541,-122.273,47.541,-122.273
