"","zip","count"
"1","98101",106
"2","98102",41
"3","98103",30
"4","98104",112
"5","98105",53
"6","98106",24
"7","98107",9
"8","98108",28
"9","98109",57
"10","98112",28
"11","98115",43
"12","98116",15
"13","98117",9
"14","98118",22
"15","98119",16
"16","98121",66
"17","98122",27
"18","98125",38
"19","98126",18
"20","98133",25
"21","98134",65
"22","98136",9
"23","98144",45
"24","98146",6
"25","98154",55
"26","98164",29
"27","98174",4
"28","98177",13
"29","98178",18
"30","98199",5
