"x"
"12",192
"13",197
"14",36
"15",50
"16",7
"17",9
"18",987
"19",157
"20",599
"21",102
"22",193
"x"
"1",1
"2",13
"3",15
"4",17
"5",18
"6",19
"7",2
"8",24
"9",3
"10",31
"11",32
"12",33
"13",4
"14",994
"15",29
"16",674
"x"
"1",1
"2",111
"3",113
"4",114
"5",116
"6",118
"7",119
"8",120
"9",121
"10",122
"11",123
"12",124
"13",125
"14",13
"15",131
"16",132
"17",14
"18",143
"19",15
"20",158
"21",159
"22",17
"23",177
"24",178
"25",179
"26",18
"27",19
"28",190
"29",192
"30",2
"31",21
"32",212
"33",214
"34",217
"35",24
"36",26
"37",27
"38",28
"39",3
"40",304
"41",309
"42",33
"43",36
"44",4
"45",5
"46",55
"47",554
"48",56
"49",57
"50",62
"51",64
"52",70
"53",8
"54",98
"55",99
"56",994
"57",157
"58",29
"59",40
"60",673
"61",674
"62",675
"63",63
"x"
"1",10
"2",11
"3",12
"4",2
"5",27
"6",3
"7",303
"8",309
"9",4
"10",43
"11",47
"12",48
"13",545
"14",60
"15",64
"16",8
"17",9
"18",984
"19",987
"20",988
"21",49
"22",599
"23",193
"24",980
"25",630
"26",96
"27",63
"x"
"1",26
"2",301
"3",303
"4",304
"5",308
"6",309
"7",312
"8",330
"9",345
"10",346
"11",347
"12",348
"13",372
"14",373
"15",41
"16",522
"17",555
"18",64
"19",65
"20",661
"21",67
"22",73
"23",75
"24",77
"25",982
"26",984
"27",986
"28",987
"29",988
"30",989
"31",994
"32",995
"33",556
"34",981
"35",980
"36",40
"37",63
"x"
"1",116
"2",118
"3",119
"4",128
"5",21
"6",22
"7",37
"8",50
"9",55
"10",56
"11",57
"12",773
"13",973
"14",975
"15",775
"16",673
"x"
"1",28
"2",301
"3",303
"4",304
"5",308
"6",316
"7",330
"8",345
"9",346
"10",348
"11",355
"12",373
"13",41
"14",661
"15",982
"16",986
"17",987
"18",988
"19",989
"20",994
"21",981
"22",40
"23",675
"x"
"1",101
"2",11
"3",111
"4",113
"5",114
"6",116
"7",118
"8",119
"9",120
"10",121
"11",122
"12",123
"13",124
"14",125
"15",131
"16",132
"17",143
"18",150
"19",154
"20",158
"21",159
"22",177
"23",178
"24",179
"25",19
"26",190
"27",192
"28",197
"29",21
"30",212
"31",214
"32",216
"33",217
"34",219
"35",24
"36",26
"37",28
"38",33
"39",37
"40",5
"41",50
"42",522
"43",545
"44",55
"45",550
"46",554
"47",56
"48",57
"49",661
"50",987
"51",989
"52",218
"53",981
"54",157
"55",599
"56",102
"57",193
"58",29
"59",673
"60",674
"61",675
"62",630
"x"
"1",116
"2",118
"3",119
"4",128
"5",21
"6",22
"7",37
"8",673
"x"
"1",101
"2",106
"3",107
"4",111
"5",114
"6",14
"7",143
"8",150
"9",158
"10",159
"11",177
"12",178
"13",179
"14",190
"15",192
"16",197
"17",212
"18",214
"19",216
"20",217
"21",219
"22",27
"23",309
"24",36
"25",4
"26",48
"27",50
"28",550
"29",554
"30",60
"31",661
"32",7
"33",8
"34",9
"35",984
"36",987
"37",989
"38",218
"39",981
"40",157
"41",599
"42",102
"43",193
"44",630
"45",96
"x"
"1",113
"2",120
"3",128
"4",131
"5",21
"6",22
"x"
"1",1
"2",101
"3",11
"4",116
"5",118
"6",119
"7",12
"8",120
"9",124
"10",125
"11",13
"12",131
"13",132
"14",14
"15",15
"16",150
"17",17
"18",18
"19",19
"20",2
"21",21
"22",24
"23",255
"24",26
"25",27
"26",28
"27",3
"28",304
"29",33
"30",355
"31",36
"32",37
"33",4
"34",41
"35",43
"36",5
"37",55
"38",550
"39",56
"40",57
"41",62
"42",7
"43",70
"44",74
"45",994
"46",49
"47",599
"48",102
"49",29
"50",40
"51",673
"52",674
"53",675
"x"
"1",111
"2",114
"3",12
"4",150
"5",177
"6",178
"7",190
"8",212
"9",214
"10",216
"11",217
"12",219
"13",252
"14",257
"15",268
"16",301
"17",308
"18",311
"19",312
"20",316
"21",41
"22",522
"23",545
"24",550
"25",554
"26",76
"27",77
"28",218
"x"
"1",10
"2",12
"3",47
"4",99
"x"
"1",15
"2",18
"3",28
"4",301
"5",304
"6",330
"7",345
"8",348
"9",355
"10",40
"11",674
"x"
"1",101
"2",106
"3",107
"4",143
"5",150
"6",158
"7",159
"8",177
"9",178
"10",179
"11",190
"12",192
"13",197
"14",7
"15",157
"16",599
"17",102
"18",193
"x"
"1",19
"2",24
"3",31
"4",33
"5",994
